speaker,n_vowels,duration,speech_tempo
ea1976,27,6.192999999999984,4.359761020507036
ea1976,24,5.889999999999873,4.074702886247966
ea1976,6,2.4179999999998927,2.4813895781638817
ea1976,8,2.8740000000000236,2.7835768963117378
ea1976,28,4.4780000000000655,6.252791424743098
ea1976,20,5.940000000000055,3.367003367003336
ea1976,15,5.214999999999918,2.8763183125599685
ea1976,9,2.7180000000000746,3.3112582781456044
ea1976,2,0.6910000000000309,2.8943560057885827
ea1976,16,3.1870000000001255,5.020395356134098
ea1976,2,0.8979999999999109,2.227171492205121
ea1976,30,5.6440000000000055,5.315379163713673
ea1976,6,2.018000000000029,2.9732408325073902
ea1976,1,1.4939999999999145,0.669344042838057
ea1976,12,2.484000000000151,4.830917874395841
ea1976,2,1.9600000000000364,1.0204081632652873
ea1976,17,3.384999999999991,5.022156573116705
ea1976,15,3.630000000000109,4.132231404958554
ea1976,5,1.1700000000000728,4.273504273504008
ea1976,6,1.4809999999999943,4.051316677920339
ea1976,11,2.2439999999999145,4.901960784313912
ea1976,3,1.160000000000082,2.5862068965515412
ea1976,14,2.617999999999938,5.347593582887827
ea1976,16,3.586999999999989,4.460551993309186
ea1976,19,5.520999999999958,3.4414055424742154
ea1976,18,3.344000000000051,5.3827751196171425
ea1976,13,3.6400000000001,3.5714285714284735
ea1976,8,2.7460000000000946,2.91332847778577
ea1976,13,3.326999999999998,3.907424105801024
ea1976,16,2.9299999999998363,5.460750853242626
ea1976,9,1.9700000000000273,4.568527918781663
ea1976,20,4.936999999999898,4.051043143609563
ea1976,14,3.0670000000000073,4.56472122595369
ea1976,6,1.3480000000001835,4.45103857566705
ea1976,22,5.002999999999929,4.397361583050232
ea1976,15,3.477000000000089,4.314063848144842
ea1976,12,2.0670000000000073,5.805515239477483
ea1976,12,2.0190000000000055,5.94353640416046
ea1976,8,2.1599999999998545,3.7037037037039533
ea1976,11,2.530999999999949,4.346108257605777
ea1976,19,3.0930000000000746,6.142903330100078
ea1976,11,3.147999999999911,3.4942820838628688
ea1976,15,2.733000000000174,5.488474204170891
ea1976,5,1.2729999999999109,3.9277297721919484
ea1976,19,4.3559999999999945,4.361799816345276
ea1976,5,1.025000000000091,4.878048780487372
ea1976,5,1.390999999999849,3.5945363048170687
ea1976,3,1.7730000000001382,1.6920473773264333
ea1976,7,1.4149999999999636,4.946996466431223
ea1976,16,2.536000000000058,6.309148264984082
ea1976,25,3.518000000000029,7.106310403638372
ea1976,2,2.259999999999991,0.884955752212393
ea1976,9,2.354000000000042,3.8232795242140356
ea1976,6,1.4149999999999636,4.240282685512477
ea1976,7,2.4049999999999727,2.9106029106029436
ea1976,23,4.63799999999992,4.95903406640802
ea1976,17,3.0420000000001437,5.588428665351478
ea1976,7,1.7539999999999054,3.99087799315871
ea1976,12,2.894999999999982,4.14507772020728
ea1976,6,1.8520000000000891,3.2397408207341853
ea1976,19,4.878999999999905,3.8942406230785753
ea1976,2,1.4329999999999927,1.3956734124215004
ea1976,14,4.070000000000164,3.4398034398033013
ea1976,4,1.4529999999999743,2.7529249827942675
ea1976,10,1.884999999999991,5.305039787798434
ea1976,1,0.8599999999999,1.162790697674554
ea1976,16,4.275000000000091,3.7426900584794525
ea1976,6,1.8289999999999509,3.280481137233549
ea1976,6,1.8279999999999743,3.2822757111597833
ea1976,11,2.2490000000000236,4.891062694530851
ea1976,20,4.739000000000033,4.220299641274502
ea1976,13,3.1920000000000073,4.072681704260642
ea1976,10,1.7810000000001764,5.614823133070752
ea1976,16,2.7829999999999018,5.749191519942711
ea1976,22,3.2970000000000255,6.672732787382417
ea1976,13,2.701999999999998,4.811250925240566
ea1976,1,1.1569999999999254,0.8643042350908077
ea1976,19,4.3599999999999,4.357798165137715
ea1976,4,1.8659999999999857,2.143622722400874
ea1976,2,1.1699999999998454,1.7094017094019354
ea1976,11,4.495000000000118,2.4471635150166207
ea1976,21,3.877999999999929,5.415162454873745
ea1976,4,2.1240000000000236,1.8832391713747436
ea1976,14,3.2110000000000127,4.360012457178432
ea1976,6,2.224999999999909,2.696629213483256
ea1976,6,2.5950000000000273,2.312138728323675
ea1976,11,3.366999999999962,3.2670032670033042
ea1976,5,3.6099999999999,1.3850415512465757
ea1976,16,4.600000000000136,3.4782608695651143
ea1976,8,1.974999999999909,4.050632911392592
ea1976,8,2.018000000000029,3.9643211100098537
ea1976,6,1.836999999999989,3.2661948829613694
ea1976,5,1.964999999999918,2.5445292620866202
ea1976,12,3.8250000000000455,3.137254901960747
ea1976,14,4.054000000000087,3.4533793783916376
ea1976,4,1.74799999999982,2.2883295194510365
ea1976,13,3.7050000000001546,3.508771929824415
ea1976,7,2.905999999999949,2.408809359944984
ea1976,10,3.8040000000000873,2.628811777076701
