set,H,n_villages,n_categories,V1,V2,V3,V4
211,1.8069049514280089,30,4,13,9,5,3
212,1.8190558839813518,30,4,13,9,4,4
213,1.7033667177473786,30,4,13,8,8,1
214,1.781650569267271,30,4,13,8,7,2
215,1.8278779675310317,30,4,13,8,6,3
216,1.8497120352661516,30,4,13,8,5,4
217,1.8347715040483812,30,4,13,7,7,3
218,1.8646580691230397,30,4,13,7,6,4
219,1.8743412043048169,30,4,13,7,5,5
220,1.8823937016443557,30,4,13,6,6,5
221,1.651932579217033,30,4,12,12,5,1
222,1.7055872616982601,30,4,12,12,4,2
223,1.721928094887362,30,4,12,12,3,3
224,1.6874548350088157,30,4,12,11,6,1
225,1.7507926526718198,30,4,12,11,5,2
226,1.7792844184142647,30,4,12,11,4,3
227,1.710546748544161,30,4,12,10,7,1
228,1.781937063546704,30,4,12,10,6,2
229,1.8201119644709258,30,4,12,10,5,3
230,1.8322628970242687,30,4,12,10,4,4
231,1.7219280948873623,30,4,12,9,8,1
232,1.8002119464072548,30,4,12,9,7,2
233,1.8464393446710154,30,4,12,9,6,3
234,1.8682734124061353,30,4,12,9,5,4
235,1.8062389286533893,30,4,12,8,8,2
236,1.8593598634344994,30,4,12,8,7,3
237,1.8892464285091581,30,4,12,8,6,4
238,1.8989295636909351,30,4,12,8,5,5
239,1.8961399650265074,30,4,12,7,7,4
240,1.9138755975478232,30,4,12,7,6,5
241,1.9219280948873623,30,4,12,6,6,6
242,1.7149245934610597,30,4,11,11,7,1
243,1.7863149084636027,30,4,11,11,6,2
244,1.8244898093878246,30,4,11,11,5,3
245,1.8366407419411672,30,4,11,11,4,4
246,1.7311229704790554,30,4,11,10,8,1
247,1.8094068219989479,30,4,11,10,7,2
248,1.8556342202627085,30,4,11,10,6,3
249,1.8774682879978284,30,4,11,10,5,4
250,1.7364773345761222,30,4,11,9,9,1
251,1.8207881683421492,30,4,11,9,8,2
252,1.8739091031232593,30,4,11,9,7,3
253,1.903795668197918,30,4,11,9,6,4
254,1.913478803379695,30,4,11,9,5,5
255,1.879936085369394,30,4,11,8,8,3
256,1.916716186961402,30,4,11,8,7,4
257,1.9344518194827178,30,4,11,8,6,5
258,1.9413453560000673,30,4,11,7,7,5
259,1.9493978533396061,30,4,11,7,6,6
260,1.7412943652509165,30,4,10,10,9,1
261,1.8256051990169437,30,4,10,10,8,2
