speaker,year,gender,conservative,innovative,total,feature
iip1951,1951,m,1,48,49,refl2
nvt1952,1952,m,0,35,35,refl2
njae1952,1952,m,1,18,19,refl2
ofsh1952,1952,f,12,47,59,refl2
ffp1952,1952,m,0,10,10,refl2
ait1954,1954,f,4,53,57,refl2
npo1954,1954,m,0,20,20,refl2
ppp1955,1955,m,3,33,36,refl2
ipm1956,1956,m,0,28,28,refl2
ndo1958,1958,f,2,41,43,refl2
nnt1960,1960,f,1,41,42,refl2
nfm1961,1961,f,2,97,99,refl2
vap1963,1963,f,1,53,54,refl2
npo1965,1965,m,0,52,52,refl2
vkch1966,1966,m,0,36,36,refl2
ent1968,1968,f,0,17,17,refl2
juap1969,1969,m,2,10,12,refl2
nap1974,1974,f,2,22,24,refl2
svp1975,1975,m,0,36,36,refl2
vsp1996,1996,f,0,9,9,refl2
avm1922,1922,f,91,12,103,ot
ans1925,1925,f,54,10,64,ot
avt1928,1928,f,15,2,17,ot
egp1928,1928,f,26,10,36,ot
lpp1928,1928,f,4,1,5,ot
pfp1928,1928,f,80,14,94,ot
sek1930,1930,m,36,7,43,ot
mdn1933,1933,f,18,48,66,ot
opsh1935,1935,f,8,29,37,ot
lso1941,1941,f,42,45,87,ot
lgp1947,1947,f,16,35,51,ot
mgb1949,1949,f,18,37,55,ot
gvp1949,1949,f,1,16,17,ot
iip1951,1951,m,5,6,11,ot
nvt1952,1952,m,11,15,26,ot
njae1952,1952,m,0,5,5,ot
ofsh1952,1952,f,4,33,37,ot
ffp1952,1952,m,7,7,14,ot
ait1954,1954,f,4,8,12,ot
npo1954,1954,m,0,41,41,ot
ppp1955,1955,m,4,51,55,ot
ipm1956,1956,m,1,23,24,ot
ndo1958,1958,f,2,28,30,ot
nnt1960,1960,f,2,19,21,ot
nfm1961,1961,f,0,50,50,ot
vap1963,1963,f,1,23,24,ot
npo1965,1965,m,5,20,25,ot
vkch1966,1966,m,0,16,16,ot
ent1968,1968,f,0,3,3,ot
nap1974,1974,f,0,8,8,ot
svp1975,1975,m,0,34,34,ot
vsp1996,1996,f,0,2,2,ot
avm1922,1922,f,87,7,94,tu
ans1925,1925,f,6,40,46,tu
avt1928,1928,f,8,0,8,tu
egp1928,1928,f,26,3,29,tu
lpp1928,1928,f,12,1,13,tu
pfp1928,1928,f,22,33,55,tu
sek1930,1930,m,16,5,21,tu
mdn1933,1933,f,43,10,53,tu
opsh1935,1935,f,11,8,19,tu
lso1941,1941,f,38,16,54,tu
lgp1947,1947,f,15,15,30,tu
mgb1949,1949,f,18,10,28,tu
gvp1949,1949,f,12,0,12,tu
iip1951,1951,m,9,1,10,tu
nvt1952,1952,m,22,8,30,tu
njae1952,1952,m,1,1,2,tu
ofsh1952,1952,f,10,11,21,tu
ffp1952,1952,m,5,2,7,tu
ait1954,1954,f,6,5,11,tu
npo1954,1954,m,16,1,17,tu
ppp1955,1955,m,18,5,23,tu
ipm1956,1956,m,11,0,11,tu
ndo1958,1958,f,7,5,12,tu
nnt1960,1960,f,6,2,8,tu
nfm1961,1961,f,0,19,19,tu
vap1963,1963,f,3,9,12,tu
npo1965,1965,m,5,5,10,tu
vkch1966,1966,m,12,2,14,tu
juap1969,1969,m,0,2,2,tu
nap1974,1974,f,0,4,4,tu
svp1975,1975,m,0,3,3,tu
vsp1996,1996,f,0,3,3,tu
